13.6  0.213272  0.081955  0.213272  0.081955    0.00085   -0.00002    0.13727
13.8  0.220338  0.080978  0.220338  0.080978    0.00064   -0.00001    0.13727
14.0  0.227455  0.080020  0.227455  0.080020    0.00048   -0.00001    0.13727
14.2  0.234621  0.079079  0.234621  0.079079    0.00036   -0.00001    0.13727
14.4  0.241836  0.078154  0.241836  0.078154    0.00027   -0.00000    0.13726
14.6  0.249099  0.077245  0.249099  0.077245    0.00020   -0.00000    0.13726
14.8  0.256408  0.076350  0.256408  0.076350    0.00015   -0.00000    0.13726
15.0  0.263762  0.075469  0.263762  0.075469    0.00011   -0.00000    0.13726
15.2  0.271160  0.074600  0.271160  0.074600    0.00008   -0.00000    0.13726
15.4  0.278600  0.073743  0.278600  0.073743    0.00006   -0.00000    0.13726
15.6  0.286082  0.072897  0.286082  0.072897    0.00005   -0.00000    0.13726
15.8  0.293603  0.072061  0.293603  0.072061    0.00003   -0.00000    0.13726
16.0  0.301163  0.071235  0.301163  0.071235    0.00003   -0.00000    0.13726
16.2  0.308760  0.070417  0.308760  0.070417    0.00002   -0.00000    0.13726
16.4  0.316393  0.069607  0.316393  0.069607    0.00001   -0.00000    0.13726
16.6  0.324060  0.068805  0.324060  0.068805    0.00001   -0.00000    0.13726
16.8  0.331760  0.068010  0.331760  0.068010    0.00001   -0.00000    0.13726
17.0  0.339491  0.067221  0.339491  0.067221    0.00001   -0.00000    0.13726
17.2  0.347252  0.066439  0.347252  0.066439    0.00000   -0.00000    0.13726
17.4  0.355041  0.065661  0.355041  0.065661    0.00000   -0.00000    0.13726
17.6  0.362857  0.064889  0.362857  0.064889    0.00000   -0.00000    0.13726
17.8  0.370697  0.064121  0.370697  0.064121    0.00000   -0.00000    0.13726
18.0  0.378562  0.063357  0.378562  0.063357    0.00000   -0.00000    0.13726
18.2  0.386448  0.062597  0.386448  0.062597    0.00000   -0.00000    0.13726


 0.2 -0.000265  0.001681 -0.000265  0.001681    0.03146    0.00111    0.00000
 0.4 -0.000983  0.006240 -0.000983  0.006240    0.04207    0.00164    0.00000
 0.6 -0.002097  0.013309 -0.002097  0.013309    0.05624    0.00243    0.00000
 0.8 -0.003473  0.022048 -0.003473  0.022048    0.07519    0.00359    0.00000
 1.0 -0.004951  0.031430 -0.004951  0.031430    0.10049    0.00531    0.00000
 1.2 -0.006353  0.040327 -0.006353  0.040327    0.13429    0.00785    0.00000
 1.4 -0.007502  0.047628 -0.007502  0.047628    0.17941    0.01159    0.00000
 1.6 -0.008245  0.052350 -0.008245  0.052350    0.23960    0.01713    0.00000
 1.8 -0.008463  0.053744 -0.008463  0.053744    0.31985    0.02530    0.00000
 2.0 -0.008087  0.051377 -0.008087  0.051377    0.42670    0.03738    0.00000
 2.2 -0.007108  0.045181 -0.007108  0.045181    0.56877    0.05519    0.00000
 2.4 -0.005573  0.035469 -0.005573  0.035469    0.75731    0.08146    0.00000
 2.6 -0.003588  0.022912 -0.003588  0.022912    1.00688    0.12017    0.00000
 2.8 -0.001307  0.008476 -0.001307  0.008476    1.33609    0.17711    0.00000
 3.0  0.001084 -0.006665  0.001084 -0.006665    1.76834    0.26070    0.00000
 3.2  0.003381 -0.021242  0.003381 -0.021242    2.33243    0.38298    0.00000
 3.4  0.005384 -0.034016  0.005384 -0.034016    3.06261    0.56102    0.00001
 3.6  0.006914 -0.043899  0.006914 -0.043899    3.99761    0.81837    0.00001
 3.8  0.007828 -0.050063  0.007828 -0.050063    5.17784    1.18638    0.00004
 4.0  0.008035 -0.052017  0.008035 -0.052017    6.63972    1.70426    0.00011
 4.2  0.007500 -0.049656  0.007500 -0.049656    8.40580    2.41561    0.00022
 4.4  0.006255 -0.043260  0.006255 -0.043260   10.47033    3.35733    0.00036
 4.6  0.004390 -0.033449  0.004390 -0.033449   12.78120    4.53445    0.00049
 4.8  0.002056 -0.021100  0.002056 -0.021100   15.22261    5.87446    0.00055
 5.0 -0.000544 -0.007226 -0.000544 -0.007226   17.60698    7.16401    0.00056
 5.2 -0.003158  0.007153 -0.003158  0.007153   19.68716    7.99914    0.00057
 5.4 -0.005504  0.021136 -0.005504  0.021136   21.19647    7.82681    0.00068
 5.6 -0.007282  0.034028 -0.007282  0.034028   21.91192    6.16911    0.00099
 5.8 -0.008215  0.045382 -0.008215  0.045382   21.71919    2.99967    0.00166
 6.0 -0.008088  0.054982 -0.008088  0.054982   20.64963   -1.01171    0.00281
 6.2 -0.006792  0.062797 -0.006792  0.062797   18.86985   -4.73137    0.00447
 6.4 -0.004343  0.068922 -0.004343  0.068922   16.62963   -7.19182    0.00658
 6.6 -0.000864  0.073524 -0.000864  0.073524   14.19411   -8.07381    0.00900
 6.8  0.003455  0.076808  0.003455  0.076808   11.78871   -7.67545    0.01149
 7.0  0.008406  0.078986  0.008406  0.078986    9.57097   -6.55286    0.01384
 7.2  0.013796  0.080268  0.013796  0.080268    7.62825   -5.20031    0.01586
 7.4  0.019471  0.080843  0.019471  0.080843    5.99096   -3.92459    0.01751
 7.6  0.025316  0.080875  0.025316  0.080875    4.65092   -2.86106    0.01878
 7.8  0.031255  0.080501  0.031255  0.080501    3.57828   -2.03675    0.01973
 8.0  0.037240  0.079833  0.037240  0.079833    2.73402   -1.42656    0.02041
 8.2  0.043244  0.078956  0.043244  0.078956    2.07794   -0.98816    0.02088
 8.4  0.049255  0.077938  0.049255  0.077938    1.57295   -0.67934    0.02120
 8.6  0.055269  0.076829  0.055269  0.076829    1.18706   -0.46464    0.02142
 8.8  0.061289  0.075665  0.061289  0.075665    0.89379   -0.31670    0.02155
 9.0  0.067319  0.074475  0.067319  0.074475    0.67180   -0.21535    0.02163
 9.2  0.073367  0.073276  0.073367  0.073276    0.50429   -0.14620    0.02167
 9.4  0.079438  0.072083  0.079438  0.072083    0.37818   -0.09915    0.02168
 9.6  0.085538  0.070906  0.085538  0.070906    0.28340   -0.06719    0.02168
 9.8  0.091674  0.069749  0.091674  0.069749    0.21226   -0.04551    0.02167
10.0  0.097850  0.068618  0.097850  0.068618    0.15891   -0.03082    0.02165
10.2  0.104071  0.067514  0.104071  0.067514    0.11893   -0.02086    0.02164
10.4  0.110339  0.066439  0.110339  0.066439    0.08899   -0.01412    0.02162
10.6  0.116659  0.065393  0.116659  0.065393    0.06658   -0.00956    0.02160
10.8  0.123031  0.064375  0.123031  0.064375    0.04980   -0.00647    0.02158
11.0  0.129458  0.063385  0.129458  0.063385    0.03725   -0.00438    0.02157
11.2  0.135941  0.062422  0.135941  0.062422    0.02786   -0.00296    0.02155
11.4  0.142481  0.061484  0.142481  0.061484    0.02083   -0.00200    0.02154
11.6  0.149079  0.060571  0.149079  0.060571    0.01558   -0.00136    0.02153
11.8  0.155735  0.059682  0.155735  0.059682    0.01165   -0.00092    0.02152
12.0  0.162448  0.058814  0.162448  0.058814    0.00871   -0.00062    0.02152
12.2  0.169220  0.057968  0.169220  0.057968    0.00652   -0.00042    0.02151
12.4  0.176049  0.057141  0.176049  0.057141    0.00487   -0.00028    0.02150
12.6  0.182936  0.056333  0.182936  0.056333    0.00364   -0.00019    0.02150
12.8  0.189880  0.055542  0.189880  0.055542    0.00272   -0.00013    0.02150
13.0  0.196880  0.054767  0.196880  0.054767    0.00204   -0.00009    0.02149
13.2  0.203935  0.054009  0.203935  0.054009    0.00152   -0.00006    0.02149
13.4  0.211045  0.053264  0.211045  0.053264    0.00114   -0.00004    0.02149
13.6  0.218209  0.052533  0.218209  0.052533    0.00085   -0.00003    0.02149
13.8  0.225426  0.051815  0.225426  0.051815    0.00064   -0.00002    0.02149
14.0  0.232695  0.051109  0.232695  0.051109    0.00048   -0.00001    0.02148
14.2  0.240014  0.050414  0.240014  0.050414    0.00036   -0.00001    0.02148
14.4  0.247383  0.049730  0.247383  0.049730    0.00027   -0.00001    0.02148
14.6  0.254801  0.049055  0.254801  0.049055    0.00020   -0.00000    0.02148
14.8  0.262266  0.048389  0.262266  0.048389    0.00015   -0.00000    0.02148
15.0  0.269778  0.047732  0.269778  0.047732    0.00011   -0.00000    0.02148
15.2  0.277334  0.047083  0.277334  0.047083    0.00008   -0.00000    0.02148
15.4  0.284934  0.046441  0.284934  0.046441    0.00006   -0.00000    0.02148
15.6  0.292575  0.045806  0.292575  0.045806    0.00005   -0.00000    0.02148
15.8  0.300258  0.045177  0.300258  0.045177    0.00003   -0.00000    0.02148
16.0  0.307980  0.044555  0.307980  0.044555    0.00003   -0.00000    0.02148
16.2  0.315740  0.043938  0.315740  0.043938    0.00002   -0.00000    0.02148
16.4  0.323537  0.043325  0.323537  0.043325    0.00001   -0.00000    0.02148
16.6  0.331368  0.042718  0.331368  0.042718    0.00001   -0.00000    0.02148
16.8  0.339233  0.042115  0.339233  0.042115    0.00001   -0.00000    0.02148
17.0  0.347130  0.041516  0.347130  0.041516    0.00001   -0.00000    0.02148
17.2  0.355058  0.040921  0.355058  0.040921    0.00000   -0.00000    0.02148
17.4  0.363014  0.040328  0.363014  0.040328    0.00000   -0.00000    0.02148
17.6  0.370997  0.039739  0.370997  0.039739    0.00000   -0.00000    0.02148
17.8  0.379006  0.039153  0.379006  0.039153    0.00000   -0.00000    0.02148
18.0  0.387040  0.038569  0.387040  0.038569    0.00000   -0.00000    0.02148
18.2  0.395095  0.037988  0.395095  0.037988    0.00000   -0.00000    0.02148
