#  9.5357e-01  5.9435e-01 -4.7970e-01  7.4970e-01
   1  1.3188e-01 -5.0637e-02  1.0411e+00  8.2706e-01  4.9139e-01 -4.3592e-05
   2  2.5007e-01 -9.6019e-02  7.1878e-01  1.0864e+00  9.8277e-01 -8.7213e-05
   3  3.4229e-01 -1.3143e-01  3.2186e-01  1.2330e+00  9.8276e-01 -8.7283e-05
   4  3.9896e-01 -1.5319e-01 -1.0848e-01  1.2514e+00  9.8274e-01 -8.7380e-05
   5  4.1415e-01 -1.5903e-01 -5.2754e-01  1.1398e+00  9.8272e-01 -8.7516e-05
   6  3.8624e-01 -1.4831e-01 -8.9168e-01  9.0955e-01  9.8270e-01 -8.7705e-05
   7  3.1808e-01 -1.2214e-01 -1.1629e+00  5.8452e-01  9.8268e-01 -8.7970e-05
   8  2.1672e-01 -8.3228e-02 -1.3127e+00  1.9851e-01  9.8265e-01 -8.8340e-05
   9  9.2704e-02 -3.5616e-02 -1.3253e+00 -2.0824e-01  9.8261e-01 -8.8857e-05
  10 -4.1017e-02  1.5725e-02 -1.1990e+00 -5.9314e-01  9.8257e-01 -8.9580e-05
  11 -1.7043e-01  6.5414e-02 -9.4693e-01 -9.1574e-01  9.8253e-01 -9.0589e-05
  12 -2.8189e-01  1.0822e-01 -5.9519e-01 -1.1419e+00  9.8249e-01 -9.1997e-05
  13 -3.6361e-01  1.3961e-01 -1.8071e-01 -1.2476e+00  9.8244e-01 -9.3963e-05
  14 -4.0685e-01  1.5625e-01  2.5282e-01 -1.2213e+00  9.8239e-01 -9.6705e-05
  15 -4.0690e-01  1.5633e-01  6.5943e-01 -1.0654e+00  9.8233e-01 -1.0053e-04
  16 -3.6364e-01  1.3981e-01  9.9574e-01 -7.9618e-01  9.8228e-01 -1.0586e-04
  17 -2.8154e-01  1.0840e-01  1.2256e+00 -4.4208e-01  9.8222e-01 -1.1328e-04
  18 -1.6927e-01  6.5418e-02  1.3242e+00 -4.0835e-02  9.8217e-01 -1.2361e-04
  19 -3.8801e-02  1.5450e-02  1.2804e+00  3.6448e-01  9.8211e-01 -1.3797e-04
  20  9.5843e-02 -3.6172e-02  1.0988e+00  7.3011e-01  9.8206e-01 -1.5788e-04
  21  2.2011e-01 -8.3925e-02  7.9870e-01  1.0163e+00  9.8202e-01 -1.8546e-04
  22  3.2047e-01 -1.2272e-01  4.1270e-01  1.1920e+00  9.8199e-01 -2.2350e-04
  23  3.8594e-01 -1.4845e-01 -1.7108e-02  1.2380e+00  9.8198e-01 -2.7576e-04
  24  4.0934e-01 -1.5850e-01 -4.4367e-01  1.1495e+00  9.8200e-01 -3.4711e-04
  25  3.8806e-01 -1.5198e-01 -8.2032e-01  9.3705e-01  9.8205e-01 -4.4369e-04
  26  3.2446e-01 -1.2984e-01 -1.1063e+00  6.2493e-01  9.8215e-01 -5.7290e-04
  27  2.2556e-01 -9.4643e-02 -1.2714e+00  2.4875e-01  9.8233e-01 -7.4299e-04
  28  1.0224e-01 -5.0218e-02 -1.3002e+00 -1.4902e-01  9.8260e-01 -9.6198e-04
  29 -3.2105e-02 -1.0093e-03 -1.1934e+00 -5.2447e-01  9.8298e-01 -1.2356e-03
  30 -1.6321e-01  4.8588e-02 -9.6768e-01 -8.3806e-01  9.8352e-01 -1.5636e-03
  31 -2.7771e-01  9.4876e-02 -6.5310e-01 -1.0600e+00  9.8422e-01 -1.9357e-03
  32 -3.6477e-01  1.3530e-01 -2.8793e-01 -1.1739e+00  9.8511e-01 -2.3268e-03
  33 -4.1728e-01  1.6858e-01  8.7528e-02 -1.1787e+00  9.8619e-01 -2.6962e-03
  34 -4.3239e-01  1.9448e-01  4.3748e-01 -1.0868e+00  9.8743e-01 -2.9920e-03
  35 -4.1132e-01  2.1332e-01  7.3556e-01 -9.2018e-01  9.8879e-01 -3.1637e-03
  36 -3.5845e-01  2.2549e-01  9.6719e-01 -7.0507e-01  9.9020e-01 -3.1785e-03
  37 -2.8015e-01  2.3115e-01  1.1289e+00 -4.6628e-01  9.9157e-01 -3.0334e-03
