 6.044E-03 4.181E-02 7.941E-02 1.134E-01 1.474E-01 1.752E-01 1.834E-01 1.473E-01 7.684E-02 2.353E-02
 1.190E-02 5.440E-02 9.454E-02 1.239E-01 1.487E-01 1.675E-01 1.676E-01 1.314E-01 7.086E-02 2.340E-02
 1.219E-02 5.496E-02 9.557E-02 1.248E-01 1.490E-01 1.670E-01 1.660E-01 1.297E-01 7.061E-02 2.389E-02
 1.249E-02 5.550E-02 9.644E-02 1.258E-01 1.495E-01 1.664E-01 1.644E-01 1.281E-01 7.026E-02 2.438E-02
 1.285E-02 5.607E-02 9.737E-02 1.270E-01 1.500E-01 1.655E-01 1.622E-01 1.263E-01 6.992E-02 2.515E-02
 1.351E-02 5.720E-02 9.884E-02 1.285E-01 1.505E-01 1.640E-01 1.592E-01 1.237E-01 6.949E-02 2.618E-02
 1.424E-02 5.844E-02 1.004E-01 1.302E-01 1.510E-01 1.623E-01 1.557E-01 1.209E-01 6.908E-02 2.742E-02
 1.509E-02 5.992E-02 1.022E-01 1.320E-01 1.514E-01 1.603E-01 1.520E-01 1.180E-01 6.860E-02 2.863E-02
 1.607E-02 6.168E-02 1.042E-01 1.338E-01 1.518E-01 1.582E-01 1.482E-01 1.149E-01 6.804E-02 2.977E-02
 1.721E-02 6.386E-02 1.066E-01 1.356E-01 1.519E-01 1.560E-01 1.445E-01 1.119E-01 6.731E-02 3.061E-02
 1.853E-02 6.649E-02 1.092E-01 1.373E-01 1.518E-01 1.538E-01 1.409E-01 1.091E-01 6.640E-02 3.112E-02
 2.004E-02 6.960E-02 1.122E-01 1.390E-01 1.514E-01 1.513E-01 1.374E-01 1.062E-01 6.534E-02 3.136E-02
 2.176E-02 7.320E-02 1.156E-01 1.407E-01 1.508E-01 1.487E-01 1.339E-01 1.034E-01 6.413E-02 3.139E-02
 2.372E-02 7.733E-02 1.193E-01 1.423E-01 1.500E-01 1.459E-01 1.303E-01 1.005E-01 6.279E-02 3.123E-02
 2.596E-02 8.205E-02 1.234E-01 1.438E-01 1.487E-01 1.428E-01 1.267E-01 9.758E-02 6.131E-02 3.087E-02
 2.779E-02 8.602E-02 1.270E-01 1.455E-01 1.481E-01 1.404E-01 1.234E-01 9.484E-02 5.978E-02 3.036E-02
 2.979E-02 9.034E-02 1.310E-01 1.472E-01 1.472E-01 1.377E-01 1.201E-01 9.203E-02 5.814E-02 2.973E-02
 3.195E-02 9.502E-02 1.352E-01 1.490E-01 1.463E-01 1.349E-01 1.167E-01 8.909E-02 5.640E-02 2.903E-02
 3.428E-02 1.001E-01 1.397E-01 1.508E-01 1.451E-01 1.319E-01 1.130E-01 8.604E-02 5.456E-02 2.825E-02
 3.678E-02 1.055E-01 1.444E-01 1.526E-01 1.439E-01 1.287E-01 1.093E-01 8.288E-02 5.262E-02 2.739E-02
 3.946E-02 1.113E-01 1.495E-01 1.544E-01 1.424E-01 1.253E-01 1.054E-01 7.961E-02 5.059E-02 2.645E-02
